player_name,position,team_abbr,our_rank,vor,ecr_overall_rank,espn_rank,espn_adp,espn_vs_fp_gap
Chris Godwin Jr.,WR,TB,102,-25.34491528164753,80.99,172.0,140.5,-91.01
Kyle Monangai,RB,CHI,103,-25.745313832005067,100.63,150.0,122.73,-49.370000000000005
Oronde Gadsden II,TE,LAC,104,-26.10993306649739,164.89,319.0,168.23,-154.11
Bo Nix,QB,DEN,105,-26.151954496551586,101.07,120.0,97.63,-18.930000000000007
Jordan Love,QB,GB,106,-26.49440393475382,118.48,284.0,159.7,-165.51999999999998
Hunter Henry,TE,NE,107,-27.359147798234247,162.95,165.0,141.63,-2.0500000000000114
Brian Thomas Jr.,WR,JAX,108,-27.75345912771887,79.4,116.0,100.38,-36.599999999999994
Jakobi Meyers,WR,JAX,109,-28.659195741744668,95.63,117.0,108.99,-21.370000000000005
Xavier Worthy,WR,KC,110,-28.90032330216816,122.25,174.0,139.88,-51.75
Ricky Pearsall,WR,SF,111,-28.90032330216816,99.35,129.0,119.21,-29.650000000000006
Quentin Johnston,WR,LAC,112,-28.90032330216816,102.81,176.0,143.93,-73.19
Juwan Johnson,TE,NO,113,-29.151489935767643,148.07,221.0,163.56,-72.93
Jordyn Tyson,WR,NO,114,-29.16689680560192,87.42,104.0,96.99,-16.58
Wan'Dale Robinson,WR,NYG,115,-29.16689680560192,88.36,125.0,112.36,-36.64
Dalton Schultz,TE,HOU,116,-30.85699533962675,178.84,305.0,167.94,-126.16
Chuba Hubbard,RB,CAR,117,-31.753033165480986,84.4,137.0,106.88,-52.599999999999994
C.J. Stroud,QB,HOU,118,-32.135100563967285,139.76,290.0,166.51,-150.24
Kenny Gainwell,RB,PIT,119,-32.61466209169522,101.78,139.0,121.62,-37.22
Rico Dowdle,RB,CAR,120,-32.97210287075933,88.13,136.0,106.07,-47.870000000000005
J.K. Dobbins,RB,DEN,121,-33.109326150117525,105.52,148.0,119.44,-42.480000000000004
Chig Okonkwo,TE,TEN,122,-34.615005480169174,158.52,320.0,168.54,-161.48
Jordan Addison,WR,MIN,123,-35.74879068259692,106.81,130.0,120.55,-23.189999999999998
Jayden Higgins,WR,HOU,124,-35.86256678083558,122.8,177.0,158.58,-54.2
T.J. Hockenson,TE,MIN,125,-35.97910646472407,189.75,155.0,131.57,34.75
AJ Barner,TE,SEA,126,-36.43159399748444,210.4,370.0,169.1,-159.6
Tyler Shough,QB,NO,127,-38.87155000216956,122.87,183.0,152.89,-60.129999999999995
Kenyon Sadiq,TE,NYJ,128,-39.67881191285386,208.2,162.0,134.23,46.19999999999999
Khalil Shakir,WR,BUF,129,-39.96433946308473,118.3,156.0,133.1,-37.7
Jayden Reed,WR,GB,130,-40.13998732893839,111.25,157.0,136.88,-45.75
Rachaad White,RB,TB,131,-40.788577983605,108.45,147.0,122.08,-38.55
Makai Lemon,WR,PHI,132,-42.24776171918228,98.76,126.0,106.79,-27.239999999999995
Michael Wilson,WR,ARI,133,-44.085008571824005,89.89,127.0,112.92,-37.11
Terrance Ferguson,TE,LAR,134,-44.411314350417,248.7,218.0,166.78,30.69999999999999
Romeo Doubs,WR,GB,135,-44.44336004235302,131.65,175.0,146.0,-43.349999999999994
Aaron Jones Sr.,RB,MIN,136,-44.82524747009306,109.31,138.0,118.09,-28.689999999999998
Zach Charbonnet,RB,SEA,137,-45.38211271946385,143.35,188.0,155.18,-44.650000000000006
Colby Parkinson,TE,LAR,138,-45.62236915528543,256.2,442.0,170.71,-185.8
Pat Freiermuth,TE,PIT,139,-47.04754511076554,243.24,303.0,168.73,-59.75999999999999
Woody Marks,RB,HOU,140,-48.370983645998535,139.02,169.0,148.96,-29.97999999999999
Cade Otton,TE,TB,141,-48.40976888689991,244.27,373.0,170.31,-128.73
KC Concepcion,WR,CLE,142,-48.83455668869448,134.39,171.0,143.84,-36.610000000000014
Gunnar Helm,TE,TEN,143,-50.10741396987443,216.67,318.0,169.84,-101.33000000000001
Eli Stowers,TE,PHI,144,-50.48946224516935,265.63,459.0,170.01,-193.37
Evan Engram,TE,DEN,145,-51.039712074758015,256.81,414.0,170.31,-157.19
Jordan Mason,RB,MIN,146,-51.35985457253322,127.3,170.0,146.55,-42.7
Mike Gesicki,TE,CIN,147,-52.58749489369754,266.52,413.0,170.6,-146.48000000000002
Greg Dulcich,TE,MIA,148,-53.062609955472254,214.84,371.0,170.16,-156.16
Isiah Pacheco,RB,KC,149,-53.6748107094615,147.52,190.0,157.83,-42.47999999999999
Tyrone Tracy Jr.,RB,NYG,150,-54.34872549906791,133.41,215.0,167.42,-81.59
Jacory Croskey-Merritt,RB,WAS,151,-54.34872549906791,124.89,167.0,139.76,-42.11
Tyler Allgeier,RB,ATL,152,-54.34872549906791,141.69,231.0,169.83,-89.31
Aaron Rodgers,QB,PIT,153,-55.694336519023466,225.26,387.0,169.47,-161.74
David Njoku,TE,CLE,154,-56.21975558351672,246.57,417.0,170.04,-170.43
Jonathon Brooks,RB,CAR,155,-56.50760050665368,124.53,161.0,131.22,-36.47
Bryce Young,QB,CAR,156,-56.99224663138304,160.24,322.0,168.35,-161.76
Jauan Jennings,WR,SF,157,-57.27356155932684,153.41,225.0,169.43,-71.59
Rashid Shaheed,WR,SEA,158,-57.27356155932684,150.72,181.0,156.9,-30.28
Matthew Golden,WR,GB,159,-57.27356155932684,137.65,114.0,103.82,23.650000000000006
Omar Cooper Jr.,WR,NYJ,160,-57.52912604845059,158.82,209.0,168.81,-50.18000000000001
Tyjae Spears,RB,TEN,161,-57.77705188600574,144.13,217.0,167.65,-72.87
Cam Ward,QB,TEN,162,-58.54561741789988,153.47,286.0,166.97,-132.53
Chris Rodriguez Jr.,RB,WAS,163,-58.742417856504986,145.39,193.0,168.72,-47.610000000000014
Jalen Coker,WR,CAR,164,-58.88803484174572,133.08,180.0,161.68,-46.91999999999999
Stefon Diggs,WR,NE,165,-59.969588579648615,161.41,295.0,165.08,-133.59
Dylan Sampson,RB,CLE,166,-62.20947558358672,145.08,329.0,170.48,-183.92
Jake Tonges,TE,SF,167,-62.26400203520562,285.0,419.0,170.59,-134.0
Isaac TeSlaa,WR,DET,168,-62.45281530634794,200.54,300.0,170.03,-99.46000000000001
Tre' Harris,WR,LAC,169,-62.45281530634794,179.67,298.0,170.44,-118.33000000000001
