player_name,sleeper_name,position,team,adp,adp_overall_rank,adp_pos_rank,proj_pts,rush_att,rush_yd,rush_td,rec,tar,rec_yd,rec_td,cmp,pass_att,pass_yd,pass_td
Josh Jacobs,J. Jacobs,RB,GB,25.2,27,14,186.0,217.0,918.0,8.0,33.0,,258.0,1.0,,,,
Kyren Williams,K. Williams,RB,LAR,26.6,28,15,192.0,228.0,981.0,8.0,32.0,,219.0,2.0,,,,
George Pickens,G. Pickens,WR,DAL,27.1,29,11,206.0,1.0,6.0,,80.0,,1211.0,7.0,,,,
Chris Olave,C. Olave,WR,NO,31.8,30,12,192.0,1.0,6.0,,80.0,,1072.0,7.0,,,,
Breece Hall,B. Hall,RB,NYJ,33.0,31,16,196.0,224.0,1006.0,6.0,38.0,,320.0,2.0,,,,
Javonte Williams,J. Williams,RB,DAL,35.7,32,17,189.0,239.0,1004.0,7.0,37.0,,239.0,1.0,,,,
Tetairoa McMillan,T. McMillan,WR,CAR,37.2,33,13,179.0,1.0,6.0,,74.0,,1033.0,6.0,,,,
Tee Higgins,T. Higgins,WR,CIN,37.6,34,14,180.0,1.0,6.0,,71.0,,998.0,7.0,,,,
Garrett Wilson,G. Wilson,WR,NYJ,37.9,35,15,188.0,3.0,16.0,,86.0,,1075.0,6.0,,,,
Malik Nabers,M. Nabers,WR,NYG,38.2,36,16,181.0,3.0,15.0,,76.0,,978.0,7.0,,,,
Lamar Jackson,L. Jackson,QB,BAL,38.5,37,2,326.0,119.0,668.0,5.0,,,,,270.0,415.0,3380.0,27.0
DeVonta Smith,D. Smith,WR,PHI,39.0,38,17,179.0,1.0,6.0,,78.0,,1035.0,6.0,,,,
Cam Skattebo,C. Skattebo,RB,NYG,39.2,39,18,188.0,225.0,938.0,6.0,44.0,,317.0,1.0,,,,
Travis Etienne Jr.,T. Etienne,RB,NO,39.5,40,19,190.0,226.0,950.0,6.0,36.0,,287.0,2.0,,,,
Bucky Irving,B. Irving,RB,TB,40.5,41,20,179.0,211.0,902.0,6.0,36.0,,271.0,2.0,,,,
Ladd McConkey,L. McConkey,WR,LAC,41.0,42,18,172.0,2.0,11.0,,77.0,,962.0,6.0,,,,
TreVeyon Henderson,T. Henderson,RB,NE,41.3,43,21,162.0,176.0,785.0,6.0,35.0,,260.0,1.0,,,,
Colston Loveland,C. Loveland,TE,CHI,42.1,44,3,167.0,1.0,4.0,,80.0,,905.0,6.0,,,,
Emeka Egbuka,E. Egbuka,WR,TB,43.0,45,19,183.0,3.0,21.0,,75.0,,1009.0,7.0,,,,
Zay Flowers,Z. Flowers,WR,BAL,43.5,46,20,188.0,5.0,29.0,,81.0,,1103.0,6.0,,,,
Luther Burden III,L. Burden,WR,CHI,44.9,47,21,167.0,10.0,61.0,,72.0,,886.0,6.0,,,,
Terry McLaurin,T. McLaurin,WR,WAS,45.0,48,22,179.0,1.0,7.0,,75.0,,1045.0,6.0,,,,
Jaylen Waddle,J. Waddle,WR,DEN,45.5,49,23,164.0,3.0,16.0,,70.0,,911.0,6.0,,,,
Quinshon Judkins,Q. Judkins,RB,CLE,49.6,50,22,180.0,244.0,1012.0,6.0,32.0,,228.0,1.0,,,,
Tyler Warren,T. Warren,TE,IND,51.2,51,4,155.0,5.0,18.0,,80.0,,829.0,5.0,,,,
Jameson Williams,J. Williams,WR,DET,52.2,52,24,176.0,8.0,44.0,,60.0,,998.0,7.0,,,,
David Montgomery,D. Montgomery,RB,HOU,53.5,53,23,186.0,236.0,986.0,7.0,33.0,,245.0,1.0,,,,
DJ Moore,D. Moore,WR,BUF,53.9,54,25,148.0,5.0,29.0,,63.0,,851.0,5.0,,,,
Drake Maye,D. Maye,QB,NE,54.0,55,3,321.0,85.0,416.0,4.0,,,,,344.0,505.0,3854.0,29.0
Bhayshul Tuten,B. Tuten,RB,JAX,54.1,56,24,159.0,184.0,794.0,6.0,32.0,,234.0,1.0,,,,
Davante Adams,D. Adams,WR,LAR,55.0,57,26,158.0,,,,61.0,,772.0,8.0,,,,
