player_name,position,team,pass_yards_line,rush_yards_line,rec_yards_line,pass_tds_line,rush_tds_line,rec_tds_line,receptions_line,headshot_url
Matthew Stafford,QB,LAR,4250.0,,,30.5,,,,https://images.fantasypros.com/images/players/nfl/9451/headshot/210x210.webp
Michael Pittman Jr.,WR,PIT,,,750.5,,,4.5,72.5,https://images.fantasypros.com/images/players/nfl/19278/headshot/210x210.webp
Michael Wilson,WR,ARI,,,699.5,,,,55.5,https://images.fantasypros.com/images/players/nfl/25333/headshot/210x210.webp
Mike Evans,WR,SF,,,800.5,,,6.5,62.5,https://images.fantasypros.com/images/players/nfl/12119/headshot/210x210.webp
Nico Collins,WR,HOU,,,1075.0,,,6.5,70.5,https://images.fantasypros.com/images/players/nfl/20130/headshot/210x210.webp
Omar Cooper Jr.,WR,NYJ,,,537.5,,,3.5,,https://images.fantasypros.com/images/players/nfl/28127/headshot/210x210.webp
Omarion Hampton,RB,LAC,,925.5,,,7.5,,,https://images.fantasypros.com/images/players/nfl/25395/headshot/210x210.webp
Parker Washington,WR,JAC,,,750.5,,,4.5,56.5,https://images.fantasypros.com/images/players/nfl/23106/headshot/210x210.webp
Pat Freiermuth,TE,PIT,,,450.5,,,,41.5,https://images.fantasypros.com/images/players/nfl/20163/headshot/210x210.webp
Puka Nacua,WR,LAR,,74.5,1325.0,,0.5,8.5,104.5,https://images.fantasypros.com/images/players/nfl/23180/headshot/210x210.webp
Quentin Johnston,WR,LAC,,,641.5,,,5.5,49.5,https://images.fantasypros.com/images/players/nfl/23123/headshot/210x210.webp
Quinshon Judkins,RB,CLE,,900.5,,,6.5,,,https://images.fantasypros.com/images/players/nfl/25391/headshot/210x210.webp
Rachaad White,RB,WAS,,475.5,,,,,,https://images.fantasypros.com/images/players/nfl/23891/headshot/210x210.webp
Rashee Rice,WR,KC,,,987.5,,,8.0,,https://images.fantasypros.com/images/players/nfl/23113/headshot/210x210.webp
Rashid Shaheed,WR,SEA,,,525.5,,,3.5,,https://images.fantasypros.com/images/players/nfl/24687/headshot/210x210.webp
Rashod Bateman,WR,BAL,,,450.5,,,,,https://images.fantasypros.com/images/players/nfl/19794/headshot/210x210.webp
Rhamondre Stevenson,RB,NE,,625.0,,,5.5,0.5,,https://images.fantasypros.com/images/players/nfl/22726/headshot/210x210.webp
Ricky Pearsall,WR,SF,,,675.5,,,3.5,50.5,https://images.fantasypros.com/images/players/nfl/26214/headshot/210x210.webp
Rico Dowdle,RB,PIT,,750.5,,,4.5,,,https://images.fantasypros.com/images/players/nfl/19647/headshot/210x210.webp
Rome Odunze,WR,CHI,,,800.5,,,6.5,58.5,https://images.fantasypros.com/images/players/nfl/25411/headshot/210x210.webp
Romeo Doubs,WR,NE,,,631.5,,,4.5,56.5,https://images.fantasypros.com/images/players/nfl/23794/headshot/210x210.webp
Sam Darnold,QB,SEA,4065.0,,,23.5,,,,https://images.fantasypros.com/images/players/nfl/17236/headshot/210x210.webp
Sam LaPorta,TE,DET,,,628.5,,,4.5,61.5,https://images.fantasypros.com/images/players/nfl/22978/headshot/210x210.webp
Saquon Barkley,RB,PHI,,1075.5,250.5,,7.5,2.5,34.5,https://images.fantasypros.com/images/players/nfl/17240/headshot/210x210.webp
T.J. Hockenson,TE,MIN,,,500.5,,,,52.5,https://images.fantasypros.com/images/players/nfl/18290/headshot/210x210.webp
Tee Higgins,WR,CIN,,,875.0,,,7.5,64.5,https://images.fantasypros.com/images/players/nfl/19211/headshot/210x210.webp
