our_rank,player_name,position,team_abbr,vor,projected_ppr_points,games_missed,team_env_adj,projection_source,ecr_overall_rank,ecr_position_rank,value_vs_adp,team_win_total,replacement_points_at_position,proj_pass_yards,proj_pass_tds,proj_rush_yards,proj_rush_tds,proj_rec_yards,proj_rec_tds,proj_receptions
126,Matthew Golden,WR,GB,-35.800366139914,114.25893673780487,0.0,1.9683750000000002,vegas_prop,137.65,55.0,11.650000000000006,10.5,152.02767787771887,,,,,650.5,3.966463414634146,50.8203125
127,Jayden Reed,WR,GB,-35.800366139914,114.25893673780487,0.0,1.9683750000000002,vegas_prop,111.25,48.0,-15.75,10.5,152.02767787771887,,,,,650.5,3.966463414634146,50.8203125
128,Ricky Pearsall,WR,SF,-36.25930287771887,113.8,0.0,1.9683750000000002,vegas_prop,99.35,45.0,-28.650000000000006,10.5,152.02767787771887,,,,,675.5,3.5,50.5
129,Chig Okonkwo,TE,WAS,-37.18303786112876,94.08706199460917,0.0,-0.73508625,vegas_prop,158.52,18.0,29.52000000000001,7.5,130.53501360573793,,,,,500.5,3.4047619047619047,47.216981132075475
130,Oronde Gadsden II,TE,LAC,-38.45222683830563,90.9608130174323,0.0,1.1219737500000002,ecr_calibrated,164.89,20.0,34.889999999999986,10.5,130.53501360573793,,,,,,,
131,Brenton Strange,TE,JAX,-38.71165169247263,91.3204081632653,0.0,0.5029537500000001,vegas_prop,151.95,17.0,20.94999999999999,9.5,130.53501360573793,,,,,490.5,3.336734693877551,44.5
132,Kenyon Sadiq,TE,NYJ,-41.52889457271906,90.97924528301887,0.0,-1.9731262500000002,vegas_prop,208.2,23.0,76.19999999999999,5.5,130.53501360573793,,,,,475.5,3.5,44.85849056603774
133,Jordan Love,QB,GB,-42.98664201268492,244.80426966292134,0.0,6.79089375,vegas_prop,118.48,18.0,-14.519999999999996,10.5,294.58180542560626,3500.5,24.5,174.5,1.5,,,
134,Jalen Coker,WR,CAR,-44.535562786255454,109.86774009146342,0.0,-2.375625,vegas_prop,133.08,53.0,-0.9199999999999875,6.5,152.02767787771887,,,,,625.5,3.8140243902439024,48.8671875
135,Rachaad White,RB,WAS,-45.111931979726165,106.92857142857142,0.0,-1.61203125,vegas_prop,108.45,36.0,-26.549999999999997,7.5,150.42847215829758,,,475.5,3.3964285714285714,192.5,1.0,27.5
136,Cade Otton,TE,TB,-45.351079855737936,85.3,0.0,-0.11606625000000001,vegas_prop,244.27,28.0,108.27000000000001,8.5,130.53501360573793,,,,,425.5,3.5,43.5
137,Pat Freiermuth,TE,PIT,-46.46332475369712,84.18775510204081,0.0,-0.11606625000000001,vegas_prop,243.24,27.0,106.24000000000001,8.5,130.53501360573793,,,,,450.5,3.064625850340136,41.5
138,Bo Nix,QB,DEN,-47.44289257448265,244.09471910112362,0.0,3.04419375,vegas_prop,101.07,14.0,-36.93000000000001,9.5,294.58180542560626,3475.5,24.5,163.6923076923077,1.7051282051282053,,,
139,AJ Barner,TE,SEA,-48.24159108820442,81.1714487675335,0.0,1.1219737500000002,ecr_calibrated,210.4,24.0,71.4,10.5,130.53501360573793,,,,,,,
140,Zach Charbonnet,RB,SEA,-48.338972523807996,99.62903088448958,0.0,2.4604687500000004,ecr_calibrated,143.35,45.0,3.3499999999999943,10.5,150.42847215829758,,,,,,,
141,Jayden Higgins,WR,HOU,-49.29042482893839,101.85487804878048,0.0,0.882375,vegas_prop,122.8,51.0,-18.200000000000003,9.5,152.02767787771887,,,,,575.5,3.5091463414634148,46.5
142,Jerry Jeudy,WR,CLE,-49.68930287771887,105.8,0.0,-3.461625,vegas_prop,156.66,58.0,14.659999999999997,5.5,152.02767787771887,,,,,600.5,3.5,49.5
143,Woody Marks,RB,HOU,-49.696472523808,99.62903088448958,0.0,1.10296875,ecr_calibrated,139.02,43.0,-3.9799999999999898,9.5,150.42847215829758,,,,,,,
144,KC Concepcion,WR,CLE,-50.98227162771887,104.50703125,0.0,-3.461625,vegas_prop,134.39,54.0,-9.610000000000014,5.5,152.02767787771887,,,,,600.5,3.5,46.9140625
145,Tre Tucker,WR,LV,-52.048424828938394,102.35487804878048,0.0,-2.375625,vegas_prop,173.47,65.0,28.47,6.5,152.02767787771887,,,,,575.5,3.5091463414634148,47.5
146,Tyrone Tracy Jr.,RB,NYG,-52.411472523808,99.62903088448958,0.0,-1.61203125,ecr_calibrated,133.41,42.0,-12.590000000000003,7.5,150.42847215829758,,,,,,,
147,Jonathon Brooks,RB,CAR,-52.88068257710677,100.51732083119082,0.0,-2.9695312499999997,ecr_calibrated,124.53,39.0,-22.47,6.5,150.42847215829758,,,,,,,
148,Tyjae Spears,RB,TEN,-54.23929274898859,99.158710659309,0.0,-2.9695312499999997,ecr_calibrated,144.13,46.0,-3.8700000000000045,6.5,150.42847215829758,,,,,,,
149,Chris Rodriguez Jr.,RB,JAX,-54.25247237597861,95.07303103231897,0.0,1.10296875,ecr_calibrated,145.39,48.0,-3.6100000000000136,9.5,150.42847215829758,,,,,,,
150,Patrick Mahomes II,QB,KC,-55.26995738888815,232.5209542867181,0.0,6.79089375,ecr_calibrated,100.83,13.0,-49.17,10.5,294.58180542560626,,,,,,,
151,Calvin Ridley,WR,TEN,-55.80330287771888,98.6,0.0,-2.375625,vegas_prop,203.94,74.0,52.94,6.5,152.02767787771887,,,,,583.5,3.5,38.5
152,Rashid Shaheed,WR,SEA,-55.98195912771887,94.07734375,0.0,1.9683750000000002,vegas_prop,150.72,56.0,-1.2800000000000011,10.5,152.02767787771887,,,,,525.5,3.5,41.0546875
153,Tyler Allgeier,RB,ARI,-56.483972523808,99.62903088448958,0.0,-5.68453125,ecr_calibrated,141.69,44.0,-11.310000000000002,4.5,150.42847215829758,,,,,,,
154,Gunnar Helm,TE,TEN,-56.60067164626547,75.28844820947246,0.0,-1.35410625,vegas_prop,216.67,26.0,62.66999999999999,6.5,130.53501360573793,,,,,400.5,2.7244897959183674,37.78301886792453
155,David Njoku,TE,LAC,-56.65894480862156,72.75409504711637,0.0,1.1219737500000002,ecr_calibrated,246.57,29.0,91.57,10.5,130.53501360573793,,,,,,,
156,Dylan Sampson,RB,CLE,-57.20858252402849,97.54692088426908,0.0,-4.32703125,ecr_calibrated,145.08,47.0,-10.919999999999987,5.5,150.42847215829758,,,,,,,
